"id","movie_name","directors","actors","movie_rating","genre","duration"
2118,"National Treasure: Book of Secrets","Jon Turteltaub","Nicolas Cage, Diane Kruger, Justin Bartha","6.5","Action, Adventure, Mystery","124 min "
2119,"Hitman","Xavier Gens","Timothy Olyphant, Dougray Scott, Olga Kurylenko","6.3","Action, Crime, Drama","100 min "
2120,"Shoot 'Em Up","Michael Davis","Clive Owen, Monica Bellucci, Paul Giamatti","","Action, Comedy, Crime","86 min "
2121,"Underdog","Frederik Du Chau","Peter Dinklage, Jason Lee, Amy Adams","4.8","Action, Adventure, Comedy","84 min "
2122,"Defenders of Riga","Aigars Grauba","Janis Reinis, Elita Klavina, Girts Krumins","7","Action, Drama, History","118 min "
2123,"The Death and Life of Bobby Z","John Herzfeld","Paul Walker, Laurence Fishburne, Olivia Wilde","5.9","Action, Crime, Drama","97 min "
2124,"Bone Dry","Brett A. Hart","Luke Goss, Lance Henriksen, Dee Wallace","5.6","Action, Drama, Thriller","100 min "
2125,"The Sovereign's Servant","Oleg Ryaskov","","6.1","Action, Adventure, History","131 min "
2126,"Firehouse Dog","Todd Holland","Josh Hutcherson, Bruce Greenwood, Bree Turner","5.5","Action, Comedy, Family","111 min "
2127,"Kush","York Alec Shackleton","Nick Annunziata, William Atherton, Thomas Beaumont","3.8","Action, Crime, Thriller","96 min "
2128,"Treasure Raiders","Brent Huff","Alexander Nevsky, Steven Brand, David Carradine","4.7","Action, Adventure, Drama","95 min "
2129,"Totally Baked: A Pot-U-Mentary","Lee Abbott","John Oates, Thomas Lyons, Craig Shoemaker","4.8","Action, Comedy, Crime","88 min "
2130,"Rogue","Greg McLean","Michael Vartan, Radha Mitchell, Sam Worthington","6.2","Action, Adventure, Horror","99 min "
2131,"The Line","Michael Adante","David Barry, Laurent Boulanger, Andie Boye","5.9","Action, Crime, Drama","95 min "
2132,"Sivaji","S. Shankar","Rajinikanth, Shriya Saran, Suman","7.4","Action, Adventure, Drama","188 min "
2133,"Living & Dying","Jon Keeyes","Edward Furlong, Arnold Vosloo, Michael Madsen","4.1","Action, Crime, Thriller","90 min "
2134,"Awaken the Dead","Jeff Brookshire","Gary Kohn, Lindsey Morris, Nate Witty","2.1","Action, Horror, Mystery","102 min "
2135,"Sultanes del Sur","Alejandro Lozano","Tony Dalton, Ana de la Reguera, Silverio Palacios","6.1","Action, Crime, Drama","95 min "
2136,"Homo Erectus","Adam Rifkin","Adam Rifkin, Ali Larter, Hayes MacArthur","3.5","Action, Comedy, Drama","88 min "
2137,"Fantastic 4: Rise of the Silver Surfer","Tim Story","Ioan Gruffudd, Jessica Alba, Chris Evans","5.6","Action, Adventure, Fantasy","92 min "
2138,"Postal","Uwe Boll","Dave Foley, Verne Troyer, Zack Ward","4.4","Action, Comedy, Thriller","100 min "
2139,"Wild Hogs","Walt Becker","Tim Allen, Martin Lawrence, John Travolta","5.9","Action, Adventure, Comedy","100 min "
2140,"Big Stan","Rob Schneider","Rob Schneider, David Carradine, Sally Kirkland","6.2","Action, Comedy","105 min "
2141,"Octane","Mark Jay","Karl Davies, Lauren Steventon, Layke Anderson","4.9","Action, Drama, Romance","112 min "
2142,"Spin","Dan Neira","Fernando Carrillo, Shalim Ortiz, Mark Parra","5.3","Action, Drama, Music","120 min "
2143,"The Deal","Bryan Goeres","Penelope Ann Miller, Henry Thomas, Andoni Gracia","4.6","Action, Thriller","89 min "
2144,"Fool N Final","Ahmed Khan","Shahid Kapoor, Ayesha Takia, Vivek Oberoi","3.2","Action, Comedy, Romance","144 min "
2145,"Attack of the Gryphon","Andrew Prowse","Jonathan LaPaglia, Larry Drake, Amber Benson","3.4","Action, Adventure, Fantasy","89 min "
2146,"Attack of the Gryphon","Andrew Prowse","Jonathan LaPaglia, Larry Drake, Amber Benson","3.4","Action, Adventure, Fantasy","89 min "
2147,"Blind Eye","Mark McNabb","Levi Oliver, Tara Goudreau, Joel Hookey","2.7","Action","96 min "
2148,"Lords of the Underworld","Dale C. Reeves","Dale C. Reeves, James C. Burns, Bay Abbey","6","Action, Drama","93 min "
2149,"Scorpion","Julien Seri","Clovis Cornillac, Francis Renaud, Karole Rocher","5.4","Action, Drama","98 min "
2150,"War","Philip G. Atwell","Jet Li, Jason Statham, Nadine Velazquez","6.3","Action, Crime, Thriller","103 min "
2151,"Aliens vs. Predator: Requiem","Colin Strause","Reiko Aylesworth, Steven Pasquale, Shareeka Epps","4.7","Action, Horror, Sci-Fi","94 min "
2152,"Beaufort","Joseph Cedar","Alon Aboutboul, Adi Adouan, Yaakov Ahimeir","6.8","Action, Drama, War","131 min "
2153,"The Last Sentinel","Jesse V. Johnson","Peter Allas, Matthew R. Anderson, Steven Bauer","3.6","Action, Sci-Fi","93 min "
2154,"Outlaw","Nick Love","Sean Bean, Danny Dyer, Rupert Friend","5.8","Action, Crime, Drama","103 min "
2155,"Primeval","Michael Katleman","Dominic Purcell, Orlando Jones, Brooke Langton","4.7","Action, Adventure, Horror","93 min "
2156,"Skid Marks","Karl Kozak","Tyler Poelle, Mikey Post, Scott Dittman","3.8","Action, Comedy","85 min "
2157,"Dororo","Akihiko Shiota","Satoshi Tsumabuki, Ko Shibasaki, Kiichi Nakai","6.6","Action, Fantasy, Horror","139 min "
2158,"Flight of the Living Dead","Scott Thomas","David Chisum, Kristen Kerr, Kevin J. O'Connor","5.2","Action, Horror, Sci-Fi","94 min "
2159,"Redline","Andy Cheng","Nathan Phillips, Nadia Bjorlin, Eddie Griffin","3.9","Action","95 min "
2160,"The Rebel","Charlie Nguyen","Johnny Nguyen, Veronica Ngo, Dustin Nguyen","7.1","Action, Drama, Romance","103 min "
2161,"The Rebel","Charlie Nguyen","Johnny Nguyen, Veronica Ngo, Dustin Nguyen","7.1","Action, Drama, Romance","103 min "
2162,"Dr. Plonk","Rolf de Heer","Nigel Martin, Paul Blackwell, Magda Szubanski","","Action, Comedy, Sci-Fi","85 min "
2163,"Until Death","Simon Fellows","Jean-Claude Van Damme, Stephen Rea, Selina Giles","6","Action, Drama, Thriller","101 min "
2164,"Strength and Honour","Mark Mahon","Michael Madsen, Vinnie Jones, Patrick Bergin","6.1","Action, Drama","95 min "
2165,"Nitro","Alain Desrochers","Guillaume Lemay-Thivierge, Lucie Laurier, Martin Matte","5.5","Action, Drama, Thriller","90 min "
2166,"Flood","Tony Mitchell","Robert Carlyle, Jessalyn Gilsig, Tom Courtenay","4.8","Action, Drama, Thriller","110 min "
2167,"Rockaway","Jeff Crook","Nicholas Gonzalez, Mario Cimarro, Oleg Taktarov","4.5","Action, Crime, Drama","78 min "
2168,"Delta Farce","C.B. Harding","Larry the Cable Guy, Bill Engvall, DJ Qualls","3.4","Action, Adventure, Comedy","90 min "
2169,"Death Sentence","James Wan","Kevin Bacon, John Goodman, Kelly Preston","6.8","Action, Crime, Drama","105 min "
2170,"Bound by Blood","Randy Bettelon","","4.7","Action","1 min "
2171,"Shootout at Lokhandwala","Apoorva Lakhia","Amitabh Bachchan, Sanjay Dutt, Sunil Shetty","7","Action, Crime, Drama","122 min "
2172,"T.K.O.","Declan Mulvey","Dianna Agron, Alma Agundiz, Samantha Alarcon","3.5","Action, Drama, Thriller","92 min "
2173,"Black Water","David Nerlich","Diana Glenn, Maeve Dermody, Andy Rodoreda","6","Action, Drama, Horror","90 min "
2174,"Jack Brooks: Monster Slayer","Jon Knautz","Robert Englund, Trevor Matthews, Daniel Kash","6","Action, Comedy, Horror","85 min "
2175,"Milano Palermo - Il ritorno","Claudio Fragasso","Giancarlo Giannini, Raoul Bova, Enrico Lo Verso","4.6","Action, Crime, Drama","95 min "
2176,"The Take","Brad Furman","John Leguizamo, Tyrese Gibson, Rosie Perez","5.8","Action, Crime, Drama","96 min "
2177,"Honeyz","Tom Six","Monique van der Werff, Anna Speller, Peter Beense","4.5","Action, Comedy, Crime","75 min "
2178,"Son of Rambow","Garth Jennings","Bill Milner, Will Poulter, Jessica Hynes","7","Action, Adventure, Comedy","96 min "
2179,"The Last Ottoman: Knockout Ali","Mustafa Sevki Dogan","Kenan Imirzalioglu, Cansu Dere, Emin Boztepe","7.2","Action, Comedy, Drama","126 min "
2180,"The Last Ottoman: Knockout Ali","Mustafa Sevki Dogan","Kenan Imirzalioglu, Cansu Dere, Emin Boztepe","7.2","Action, Comedy, Drama","126 min "
2181,"Triangle","Ringo Lam","Louis Koo, Simon Yam, Honglei Sun","6.3","Action","93 min "
2182,"Nadzieja","Stanislaw Mucha","Rafal Fudalej, Kamilla Baar, Wojciech Pszoniak","6.1","Action, Drama, Mystery","101 min "
2183,"Showdown at Area 51","C. Roma","Jason London, Gigi Edgley, Christa Campbell","3.4","Action, Sci-Fi, Thriller","96 min "
2184,"Showdown at Area 51","C. Roma","Jason London, Gigi Edgley, Christa Campbell","3.4","Action, Sci-Fi, Thriller","96 min "
2185,"Gabriel","Shane Abbess","Andy Whitfield, Dwaine Stevenson, Samantha Noble","5.7","Action, Fantasy, Horror","114 min "
2186,"Diamond Dogs","Shimon Dotan","Dolph Lundgren, Nan Yu, Xue Zuren","4.2","Action, Adventure","94 min "
2187,"Battle for Terra","Aristomenis Tsirbas","Evan Rachel Wood, Luke Wilson, Justin Long","","Animation, Action, Adventure","85 min "
2188,"Underground","Chee Keong Cheung","Mark Strange, Nathan Lewis, Joey Ansah","4.3","Action","95 min "
2189,"Cash","Anubhav Sinha","Ajay Devgn, Sunil Shetty, Zayed Khan","3.4","Action, Drama, Thriller","137 min "
2190,"Cash","Anubhav Sinha","Ajay Devgn, Sunil Shetty, Zayed Khan","3.4","Action, Drama, Thriller","137 min "
2191,"Assembly","Xiaogang Feng","Hanyu Zhang, Chao Deng, Wenkang Yuan","7.3","Action, Biography, Drama","124 min "
2192,"The Black Madonna","Lasse Spang Olsen","Anders W. Berthelsen, Tuva Novotny, Nicolas Bro","5.2","Action, Comedy, Drama","88 min "
2193,"Outpost","Steve Barker","Ray Stevenson, Julian Wadham, Richard Brake","5.9","Action, Horror, Sci-Fi","90 min "
2194,"Blood Brothers","Alexi Tan","Daniel Wu, Ye Liu, Qi Shu","5.6","Action, Drama","95 min "
2195,"The Warlords","Peter Chan","Jet Li, Andy Lau, Takeshi Kaneshiro","7.1","Action, Drama, History","126 min "
2196,"Billa","Vishnuvardhan","Ajith Kumar, Nayanthara, Rahman","7.3","Action, Romance, Thriller","130 min "
2197,"Evangelion: 1.0: You Are (Not) Alone","Masayuki","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi","7.8","Animation, Action, Drama","98 min "
2198,"We Are the Strange","M. dot Strange","Chaylon Blancett, David Choe, Stuart Mahoney","5.5","Animation, Action, Adventure","88 min "
2199,"Okkadunnadu","Chandra Sekhar Yeleti","Tottempudi Gopichand, Neha Julka, Mahesh Manjrekar","7.2","Action, Thriller","119 min "
2200,"Yamadonga","S.S. Rajamouli","Junior N.T.R., Mohan Babu, Priyamani","7.3","Action, Comedy, Fantasy","185 min "
2201,"Missionary Man","Dolph Lundgren","Dolph Lundgren, Kateri Walker, Chelsea Ricketts","5.1","Action, Drama, Thriller","93 min "
2202,"The Fourth Man","Dejan Zecevic","Nikola Kojo, Dragan Petrovic, Bogdan Diklic","7.3","Action, Adventure, Mystery","107 min "
2203,"Supercroc","Scott Harper","Cynthia Rose Hall, Matt Blashaw, Kim Little","2","Action, Horror, Sci-Fi","85 min "
2204,"Twins Mission","To-hoi Kong","Sammo Kam-Bo Hung, Gillian Chung, Charlene Choi","5.3","Action, Drama","99 min "
2205,"Already Dead","Joe Otting","Ron Eldard, Til Schweiger, Patrick Kilpatrick","5.7","Action, Crime, Thriller","93 min "
2206,"Yes Sir","Taner Akvardar","Mehmet Ali Erbil, Sarp Levendoglu, Seda Akman","1.8","Action, Adventure, Comedy","100 min "
2207,"Mad Detective","Johnnie To","Ching Wan Lau, Andy On, Ka Tung Lam","7.3","Crime, Mystery, Thriller","89 min "
2208,"The Devil Dared Me To","Chris Stapp","Chris Stapp, Matt Heath, Bonnie Soper","5.6","Action, Comedy","75 min "
2209,"The Governor","Ray Garcia De Leon","Bob Dolan, Summer Clifford, Travis Thurman","7.1","Action, Drama","94 min "
2210,"The Legend of Naresuan: Part 2","Chatrichalerm Yukol","","7.2","Action, Drama, History","165 min "
2211,"Beantown","Timothy Norman","Kristen Savage, Randy Paradis, Sean Fowler","6.6","Action, Crime, Drama","95 min "
2212,"1971","Amrit Sagar","Manoj Bajpayee, Ravi Kishan, Deepak Dobriyal","7.9","Action, Drama, War","160 min "
2213,"The Bodyguard 2","Petchtai Wongkamlao","Petchtai Wongkamlao, Jacqueline Apitananon, Janet Khiew","5.6","Action, Comedy","95 min "
2214,"Flash Point","Wilson Yip","Donnie Yen, Louis Koo, Ray Lui","6.8","Action","88 min "
2215,"Fighter","Natasha Arthy","Semra Turan, Nima Nabipour, Cyron Melville","6.6","Action, Drama","90 min "
2216,"Invisible Target","Benny Chan","Nicholas Tse, Jaycee Chan, Shawn Yue","6.8","Action, Crime","129 min "
2217,"Awarapan","Mohit Suri","Salil Acharya, Emraan Hashmi, J. Brandon Hill","7.1","Action, Crime, Drama","126 min "
2218,"Sons of Virginia","Dale Jackson","Ryan Watson, Kevyn Settle, Kid Richmond","5.9","Action, History, War","48 min "
2219,"Universal Soldiers","Griff Furst","Kristen Quintrall, Dario Deak, Jason S. Gray","1.7","Action, Sci-Fi","85 min "
2220,"Om Shanti Om","Farah Khan","Shah Rukh Khan, Deepika Padukone, Arjun Rampal","6.6","Action, Comedy, Drama","162 min "
2221,"Shamo","Pou-Soi Cheang","Shawn Yue, Annie Liu, Francis Ng","5.5","Action","105 min "
2222,"One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi","Takahiro Imamura","Charles Baker, Troy Baker, Anthony Bowling","7.1","Animation, Action, Adventure","90 min "
2223,"One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi","Takahiro Imamura","Charles Baker, Troy Baker, Anthony Bowling","7.1","Animation, Action, Adventure","90 min "
2224,"Curse of the Pink Panties","Kirk Bowman","Kira Turnage, Danilo Mancinelli, Regan Brooke","6.5","Action, Comedy, Crime","78 min "
2225,"XX","Kenta Fukasaku","Nao Matsushita, Ami Suzuki, Hiroyuki Ikeuchi","6","Action, Adventure, Comedy","90 min "
2226,"Liar's Pendulum","Andrew William Flores","David Winning, Niki Rubin, Tony DeSean","7","Action, Sci-Fi, Thriller","94 min "
2227,"Methodic","Chris R. Notarile","Niki Rubin, Brandon Slagle, Rachael Robbins","4.7","Action, Drama, Horror","97 min "
2228,"Blood Ties","Kely McClung","Kely McClung, Robert Pralgo, Erik Markus Schuetz","6.9","Action","93 min "
2229,"Incorregibles","Rodolfo Ledo","Guillermo Francella, Dady Brieva, Gisela Van Lacke","4.3","Action, Comedy, Crime","91 min "
2230,"Kod apokalipsisa","Vadim Shmelev","Anastasiya Zavorotnyuk, Vincent Perez, Vladimir Menshov","4.8","Action, Adventure","106 min "
2231,"Fist of the Vampire","Len Kabasinski","Brian Heffron, Darian Caine, Brian Anthony","2.5","Action, Horror","96 min "
2232,"Muay Thai Fighter","Kongkiat Khomsiri","Akara Amarttayakul, Danny Arroyo, Sonthaya Chitmanee","6.3","Action, Drama","116 min "
2233,"Blackwater","Bill Rogers","Georgia Chris, Amy Simon, McCayne Blomberg","5.6","Action, Adventure","88 min "
2234,"Brothers","Sung Kee Chiu","Zhiwen Wang, Yi Huang, Rongguang Yu","6.1","Action, Drama","100 min "
2235,"Fuego","Damian Chapa","Damian Chapa, David Carradine, Charles Arthur Berg","3.4","Action, Drama","103 min "
2236,"Kara no Kyoukai: The Garden of Sinners - Overlooking View","Ei Aoki","Maaya Sakamoto, Ken'ichi Suzumura, Takako Honda","7.2","Animation, Action, Crime","49 min "
2237,"Kung Fu Kid","Issei Oda","Zhuang Zhang, Ken Ayugai, Nanami Fujimoto","5.4","Action","98 min "
2238,"The Island","Sherif Arafa","Mahmoud Yassine, Ahmed el-Sakka, Hend Sabry","7.9","Action, Biography, Drama","92 min "
2239,"The Island","Sherif Arafa","Mahmoud Yassine, Ahmed el-Sakka, Hend Sabry","7.9","Action, Biography, Drama","92 min "
2240,"Opapatika","Thanakorn Pongsuwan","Somchai Kemglad, Shahkrit Yamnarm, Leo Putt","4.4","Action, Fantasy, Sci-Fi","110 min "
2241,"Venus and Mars","Ji-Seung Han","Kyung-gu Sol, Tae-hee Kim, Won-yeong Jang","6","Action, Comedy, Romance","102 min "
2242,"Punch Lady","Hyo-jin Kang","Ji-Won To, Sulli Choi, Byeong-cheol Kim","6.5","Action, Drama, Sport","121 min "
2243,"A Love","Kyung-Taek Kwak","Kwang-won Bae, Seok-yeon Hong, Hyun-Seong Im","6.9","Action, Drama","104 min "
2244,"A Love","Kyung-Taek Kwak","Kwang-won Bae, Seok-yeon Hong, Hyun-Seong Im","6.9","Action, Drama","104 min "
2245,"Vel","Hari","Suriya, Asin, Vadivelu","5.6","Action, Comedy, Drama","160 min "
2246,"Pokkiri","Prabhudheva","Vijay, Asin, Prakash Raj","7.2","Action, Comedy, Crime","161 min "
2247,"Tomb Raider Ascension","Stephen Reynolds","Anna Tyrie, Philip Goldacre, Peter Wear","5.2","Action, Adventure, Fantasy","60 min "
2248,"Reketir","Akan Satayev","Aidar Mukhametzhanov, Saken Aminov, Tolepbergen Baisakalov","7","Action, Crime, Drama","80 min "
2249,"Aalwar","Chella","Ajith Kumar, Asin, Vivek","3.1","Action","152 min "
2250,"War of the Servers","Robert Stoneman","Robert Stoneman, Ben Stoneman, Jordan Brindle","6.9","Animation, Action, Adventure","100 min "
2251,"Mission: Impossible III","J.J. Abrams","Tom Cruise, Michelle Monaghan, Ving Rhames","6.9","Action, Adventure, Thriller","126 min "
2252,"The Drop","Kevin Lewis","John Savage, Sean Young, Michael Bondies","2.4","Action, Adventure, Fantasy","88 min "
2253,"Superman Returns","Bryan Singer","Brandon Routh, Kevin Spacey, Kate Bosworth","6.1","Action, Adventure, Fantasy","154 min "
2254,"Full Clip","mink","Shaun Baker, Busta Rhymes, Bubba Smith","3.1","Action, Thriller","95 min "
2255,"Game of Swords","Adrian Rudomin","Christopher Lambert, Blanca Marsillach, Brian Blessed","5.6","Action, Adventure, Crime","109 min "
2256,"Ultraviolet","Kurt Wimmer","Milla Jovovich, Cameron Bright, Nick Chinlund","4.4","Action, Sci-Fi","88 min "
2257,"X-Men: The Last Stand","Brett Ratner","Patrick Stewart, Hugh Jackman, Halle Berry","6.8","Action, Adventure, Sci-Fi","104 min "
2258,"Zoom","Peter Hewitt","Tim Allen, Courteney Cox, Chevy Chase","4.2","Action, Adventure, Family","83 min "
2259,"Pirates of the Caribbean: Dead Man's Chest","Gore Verbinski","Johnny Depp, Orlando Bloom, Keira Knightley","7.3","Action, Adventure, Fantasy","151 min "
2260,"Renaissance","Christian Volckman","Daniel Craig, Catherine McCormack, Jonathan Pryce","","Animation, Action, Sci-Fi","105 min "
2261,"The Other Side","Gregg Bishop","Nathan Mobley, Jaimie Alexander, Cory Rouse","5.4","Action, Thriller","95 min "
2262,"The Last Drop","Colin Teague","Laurence Fox, Louis Dempsey, Lucy Gaskell","4.6","Action, Adventure, Crime","103 min "
2263,"DOA: Dead or Alive","Corey Yuen","Jaime Pressly, Devon Aoki, Sarah Carter","4.8","Action, Adventure","87 min "
2264,"The Witches Hammer","James Eaves","George Anton, Tina Barnes, Stephanie Beacham","3.2","Action, Horror","91 min "
2265,"Greed","Ron Wolotzky","Jason London, Darlene Tejeiro, Andrea Bogart","3.3","Action, Horror, Thriller","93 min "
2266,"Underworld: Evolution","Len Wiseman","Kate Beckinsale, Scott Speedman, Bill Nighy","6.8","Action, Fantasy, Sci-Fi","106 min "
2267,"Cemetery Gates","Roy Knyrim","Reggie Bannister, Peter Stickles, Aime Wolf","3.5","Horror, Action, Sci-Fi","92 min "
2268,"Max Havoc: Ring of Fire","Terry Ingram","Mickey Hardt, Christina Cox, Dean Cain","3.2","Action","89 min "
2269,"Perfect Creature","Glenn Standring","Dougray Scott, Saffron Burrows, Leo Gregory","5.5","Action, Drama, Fantasy","90 min "
2270,"Running Scared","Wayne Kramer","Paul Walker, Cameron Bright, Chazz Palminteri","7.5","Action, Crime, Drama","122 min "
2271,"The Absence of Light","Patrick Desmond","Richard Conant, Eric Thornsberry, Tom Savini","3.5","Action, Drama, Horror","77 min "
2272,"The Guardian","Andrew Davis","Kevin Costner, Ashton Kutcher, Sela Ward","6.8","Action, Adventure, Drama","139 min "
2273,"Poseidon","Wolfgang Petersen","Richard Dreyfuss, Kurt Russell, Emmy Rossum","5.6","Action, Adventure, Drama","98 min "
2274,"Day Watch","Timur Bekmambetov","Konstantin Khabenskiy, Mariya Poroshina, Vladimir Menshov","6.6","Action, Fantasy, Thriller","132 min "
2275,"Talladega Nights: The Ballad of Ricky Bobby","Adam McKay","Will Ferrell, John C. Reilly, Sacha Baron Cohen","6.5","Action, Comedy, Sport","108 min "
2276,"Seven Mummies","Nick Quested","Matt Schulze, Cerina Vincent, Billy Wirth","2.4","Action, Adventure, Drama","90 min "
2277,"End Game","Andy Cheng","Cuba Gooding Jr., Angie Harmon, James Woods","5.1","Action, Crime, Drama","93 min "
2278,"Wolfhound","Nikolay Lebedev","Aleksandr Bukharov, Oksana Akinshina, Igor Petrenko","5.8","Action, Adventure, Fantasy","136 min "
2279,"Dishdogz","Mikey Hilb","Marshall Allman, Haylie Duff, Luke Perry","5.3","Action, Drama, Sport","90 min "
2280,"Jade Warrior","Antti-Jussi Annila","Tommi Eronen, Markku Peltola, Jingchu Zhang","6","Action, Adventure, Drama","110 min "
2281,"Snakes on a Plane","David R. Ellis","Samuel L. Jackson, Julianna Margulies, Nathan Phillips","5.6","Action, Thriller","105 min "
2282,"Princess","Anders Morgenthaler","Thure Lindhardt, Stine Fischer Christensen, Jens Arentzen","6.8","Animation, Action, Drama","90 min "
2283,"The Marine","John Bonito","John Cena, Kelly Carlson, Robert Patrick","4.7","Action, Drama, Thriller","92 min "
2284,"A New Wave","Jason Carvey","Andrew Keegan, Lacey Chabert, John Krasinski","4.7","Action, Crime","93 min "
2285,"A New Wave","Jason Carvey","Andrew Keegan, Lacey Chabert, John Krasinski","4.7","Action, Crime","93 min "
2286,"The Hard Easy","Ari Ryan","Henry Thomas, David Boreanaz, Vera Farmiga","5.9","Action, Crime, Drama","105 min "
2287,"Johnny Was","Mark Hammond","Vinnie Jones, Patrick Bergin, Eriq La Salle","5.6","Action, Crime, Drama","93 min "
2288,"Shadow: Dead Riot","Derek Wan","Tony Todd, Carla Greene, Nina Hodoruk","4.1","Action, Horror","81 min "
2289,"Miami Vice","Michael Mann","Colin Farrell, Jamie Foxx, Li Gong","6","Action, Crime, Thriller","134 min "
2290,"Krrish","Rakesh Roshan","Rekha, Hrithik Roshan, Priyanka Chopra","6.3","Action, Adventure, Romance","154 min "
2291,"Family: Ties of Blood","Rajkumar Santoshi","Amitabh Bachchan, Akshay Kumar, Bhoomika Chawla","5.6","Action, Crime, Drama","150 min "
2292,"Rollin' with the Nines","Julian Gilbey","Vas Blackwood, Robbie Gee, Naomi Taylor","5.6","Crime, Action, Drama","96 min "
2293,"Ice Age: The Meltdown","Carlos Saldanha","Ray Romano, John Leguizamo, Denis Leary","6.9","Animation, Action, Adventure","91 min "
2294,"Horrors of War","Peter John Ross","Jon Osbeck, Joe Lorenzo, Daniel Alan Kiely","3.2","Action, Horror, Sci-Fi","99 min "
2295,"My Wife Is a Gangster 3","Jin-gyu Cho","Qi Shu, Beom-su Lee, Hyeon-yeong","6.4","Action, Comedy, Drama","115 min "
2296,"Dhoom 2","Sanjay Gadhvi","Abhishek Bachchan, Uday Chopra, Hrithik Roshan","6.3","Action, Thriller","152 min "
2297,"Varalaaru","K.S. Ravikumar","Ajith Kumar, Asin, Kanika","7","Action, Drama, Musical","166 min "
2298,"The Sentinel","Clark Johnson","Michael Douglas, Kiefer Sutherland, Kim Basinger","6.1","Action, Crime, Thriller","108 min "
2299,"Undisputed 2: Last Man Standing","Isaac Florentine","Michael Jai White, Scott Adkins, Ben Cross","7.1","Action, Crime, Drama","98 min "
2300,"Robotech: The Shadow Chronicles","Dong-Wook Lee","Richard Epcar, Eddie Frierson, Mark Hamill","6.4","Animation, Action, Adventure","88 min "
2301,"Fay Grim","Hal Hartley","Parker Posey, Jeff Goldblum, Liam Aiken","6.4","Action, Comedy, Thriller","118 min "
2302,"One Last Dance","Max Makowski","Francis Ng, Lung Ti, Vivian Hsu","5.8","Action, Comedy, Romance","100 min "
2303,"The Contract","Bruce Beresford","John Cusack, Morgan Freeman, Jamie Anderson","5.7","Action, Crime, Drama","96 min "
2304,"Fearless","Ronny Yu","Jet Li, Li Sun, Yong Dong","7.7","Action, Biography, Drama","104 min "
2305,"Red Ridge","Damian Skinner","Louis Herthum, Steven Chester Prince, Robert Prentiss","4.6","Action, Drama, Thriller","89 min "
2306,"Hot Tamale","Michael Damian","John Hayden, Richard Riehle, Harland Williams","5.7","Action, Comedy, Crime","102 min "
2307,"Eragon","Stefen Fangmeier","Ed Speleers, Sienna Guillory, Jeremy Irons","5.1","Action, Adventure, Family","104 min "
2308,"16 Blocks","Richard Donner","Bruce Willis, Yasiin Bey, David Morse","6.6","Action, Crime, Drama","105 min "
2309,"Mustang Sally","Iren Koster","Elizabeth Daily, Lindsey Labrum, Mark Parrish","4.4","Action, Horror, Thriller","85 min "
2310,"The Champagne Gang","Daniel Zirilli","Lacey Toups, Candise Lakota, Tarah Tobiason","3.7","Action, Adventure","91 min "
2311,"Deja Vu","Tony Scott","Denzel Washington, Paula Patton, Jim Caviezel","7","Action, Sci-Fi, Thriller","126 min "
2312,"Flyboys","Tony Bill","James Franco, Jean Reno, Jennifer Decker","6.6","Action, Adventure, Drama","140 min "
2313,"The Smart Hunt","Gautham Menon","Kamal Haasan, Jyothika, Prakash Raj","7.9","Action, Crime, Romance","150 min "
2314,"Waist Deep","Vondie Curtis-Hall","Tyrese Gibson, Meagan Good, Larenz Tate","5.9","Action, Crime, Drama","97 min "
2315,"Striking Range","Daniel Millican","Lou Diamond Phillips, Yancy Butler, Tom Wright","4.2","Action, Thriller","96 min "
2316,"Evil Behind You","Jim Carroll","Hilary Kennedy, Manuel Velazquez, D.C. Lee","1.8","Action, Comedy, Sci-Fi","90 min "
2317,"Alex Rider: Operation Stormbreaker","Geoffrey Sax","Alex Pettyfer, Mickey Rourke, Sophie Okonedo","5.1","Action, Adventure, Family","93 min "
2318,"Final Contract: Death on Delivery","Axel Sand","Drew Fuller, Alison King, Ken Bones","5.7","Action","97 min "
2319,"Elephant Tales","Mario Andreacchio","Patrick Bry, Aymeric Lecerf, Boris Ventura-Diaz","5","Action, Adventure, Family","92 min "
2320,"Pudhu Pettai","K. Selvaraghavan","Dhanush, Sneha, Sonia Agarwal","8.1","Action, Crime, Drama","168 min "
2321,"Bastards","Aleksandr Atanesyan","Andrey Panin, Andrey Krasko, Aleksandr Golovin","6.2","Action, Drama, War","97 min "
2322,"Killing Down","Blake Calhoun","Sheree J. Wilson, Matthew Tompkins, Natalie Raitano","4","Action, Thriller","108 min "
2323,"Skinwalkers","James Isaac","Jason Behr, Elias Koteas, Rhona Mitra","4.6","Action, Fantasy, Horror","110 min "
2324,"Don","Farhan Akhtar","Shah Rukh Khan, Priyanka Chopra, Arjun Rampal","7.2","Action, Crime, Thriller","171 min "
2325,"Backlash","David Chameides","Suzanne Karseras, Kevin Levrone, Danielle Burgio","3.6","Action, Thriller","87 min "
2326,"Backlash","David Chameides","Suzanne Karseras, Kevin Levrone, Danielle Burgio","3.6","Action, Thriller","87 min "
2327,"The Fast and the Furious: Tokyo Drift","Justin Lin","Lucas Black, Zachery Ty Bryan, Shad Moss","6","Action, Crime, Drama","104 min "
