"id","name","address","city","state","zipcode","phone","rating","reviews","ranking"
669,"Cookie Bar","2475 N. Lincoln","Chicago","IL",," 773-348-0300",4,1,7
670,"Cooking Fools","1916 W. North Ave.","Chicago","IL",," 773-276-5565",0,0,8
671,"Cooper's","1232 W. Belmont Ave.","Chicago","IL",," 773-929-2667",0,0,9
672,"Coq d'Or","140 E. Walton St.","Chicago","IL",," 312-932-4623",3,2,10
673,"Cork & Kerry at the Park","3258 S. Princeton","Chicago","IL",," 312-842-0769",0,0,11
674,"Corner 41 Bar & Grill","4138 N. Lincoln","Chicago","IL",," 773-327-3500",3,1,12
675,"Corner Bakery Cafe","1121 N. State St.","Chicago","IL",," 312-787-1969",3,1,5
676,"Corner Bakery Cafe","1200 S. Lake Shore Dr.","Chicago","IL",," 312-588-1040",0,0,3
677,"Corner Bakery Cafe","123 N. Wacker Dr.","Chicago","IL",," 312-372-3624",2,2,2
678,"Corner Bakery Cafe","140 S. Dearborn St.","Chicago","IL",," 312-920-9100",0,0,0
679,"Corner Bakery Cafe","175 Old Orchard Shopping Center","Chicago","IL",," 847-933-1555",3,2,14
680,"Corner Bakery Cafe","224 S. Michigan Ave.","Chicago","IL",," 312-431-7600",3,1,4
681,"Corner Bakery Cafe","3232 Lake Ave.","Chicago","IL",," 847-251-2547",0,0,6
682,"Corner Bakery Cafe","444 N. Michigan Ave.","Chicago","IL",," 312-596-0793",0,0,7
683,"Corner Bakery Cafe","638 Central Ave.","Chicago","IL",," 847-433-4638",0,0,13
684,"Corner Bakery Cafe","676 N. Saint Clair St.","Chicago","IL",," 312-266-2570",3,6,1
685,"Corona's Cafe","909 W. Irving Park Rd.","Chicago","IL",," 773-529-1886",0,0,8
686,"Cortland's Garage","1645 W. Cortland St.","Chicago","IL",," 773-862-7877",0,0,9
687,"Cosi","1101 Lake St.","Chicago","IL",," 708-524-8412",0,0,12
688,"Cosi","116 S. Michigan Ave.","Chicago","IL",," 312-263-6595",3,3,13
689,"Cosi","230 W. Washington St.","Chicago","IL",," 312-422-1002",2,3,11
690,"Cosi","57 E. Grand Ave.","Chicago","IL",," 312-321-1990",2,7,10
691,"Cosina Grill","1706 W. Foster Ave.","Chicago","IL",," 773-271-7103",4,1,14
692,"Costa's","340 S. Halsted St.","Chicago","IL",," 312-263-9700",3,17,0
693,"Costello Sandwich & Sides","2015 W. Roscoe St.","Chicago","IL",," 773-929-2323",3,10,1
694,"Costello Sandwich & Sides","4647 N. Lincoln Ave.","Chicago","IL",," 773-989-7788",3,13,2
695,"Cotes du Rhone Bistro","5424 N. Broadway","Chicago","IL",," 773-293-2683",3,3,3
696,"Couch Bar & Grill","2344 W. Grand Ave.","Chicago","IL",," 312-942-9030",0,0,4
697,"Courtright's","8989 S. Archer Ave.","Chicago","IL",," 708-839-8000",4,6,6
698,"Couscous","1445 W. Taylor St.","Chicago","IL",," 312- 226-2408",3,2,7
699,"Cousin's Incredible Vitality","3038 W. Irving Park Rd.","Chicago","IL",," 773-478-6868",3,4,8
700,"Cozy Corner","138 N. Marion St.","Chicago","IL",," 708-383-1750",0,0,10
701,"Cozy Corner Diner & Pancake House","2294 N. Milwaukee Ave.","Chicago","IL",," 773-276-2215",3,2,11
702,"Cozy Noodles & Rice","1018 Davis St.","Chicago","IL",," 847-733-0101",3,6,12
703,"Cozy Noodles & Rice","3456 N. Sheffield Ave.","Chicago","IL",," 773-327-0100",3,12,13
704,"Crabbby Kim's","3655 N. Western Ave.","Chicago","IL",," 773-404-8156",0,0,14
705,"Cravin' Chicago Wings","5750 N. California Ave.","Chicago","IL",," 773-944-0662",0,0,0
706,"Crepe & Coffee Palace","2433 N. Clark St.","Chicago","IL",," 773-404-1300",0,0,1
707,"Crepe Crave","1752 W. North Ave.","Chicago","IL",," 773-698-8783",0,0,2
708,"Crepe Town","3915 N. Sheridan","Chicago","IL",," 773-248-8844",0,0,3
709,"Crepes a Latte the Cafe","1840 W. Irving Park","Chicago","IL",," 773-549-4444",0,0,4
710,"Crepes Cafe","410 S. Clark St.","Chicago","IL",," 312-341-1313",0,0,5
711,"Crew Bar & Grill","4804 N. Broadway","Chicago","IL",," 773-784-2739",4,1,6
712,"Crimson Lounge","333 N. Dearborn St.","Chicago","IL",," 312-923-2473",0,0,7
713,"Crisp","2940 N. Broadway","Chicago","IL",," 877-693-8653",3,2,8
714,"Crocodile Lounge","1540 N. Milwaukee","Chicago","IL",," 773-252-0880",0,0,9
715,"Crofton on Wells","535 N. Wells St.","Chicago","IL",," 312-755-1790",4,19,10
716,"Cross-Rhodes","913 Chicago Ave.","Chicago","IL",," 847-475-4475",3,9,11
717,"Crumbs Bake Shop","303 W. Madison St.","Chicago","IL",," 312-263-6500",0,0,12
718,"Crust","2056 W. Division St.","Chicago","IL",," 773-235-5511",3,7,13
719,"Crystal Korean Restaurant","5800 N. Lincoln Ave.","Chicago","IL",," 773-275-0489",0,0,14
720,"Cubby Bear","1059 W. Addison St.","Chicago","IL",," 773-327-1662",4,7,0
721,"Cubby Bear","21661 N. Milwaukee Ave.","Chicago","IL",," 847-541-4700",0,0,1
722,"Cucina Madonna","6154 N. Milwaukee Ave.","Chicago","IL",," 773-594-7724",3,3,2
723,"Cucina Paradiso","814 North Blvd.","Chicago","IL",," 708-848-3434",3,9,3
724,"Cucina Roma","800 E. Ogden Ave.","Chicago","IL",," 630-654-9600",0,0,4
725,"Cuernavaca Restaurant","1160 W. 18th St.","Chicago","IL",," 312-829-1147",0,0,5
726,"Cuisines","1 W. Wacker Dr.","Chicago","IL",," 312-372-7200",4,1,6
727,"Cullen's Bar & Grill","3741 N. Southport Ave.","Chicago","IL",," 773-975-0600",3,8,7
728,"Cumin","1414 N. Milwaukee","Chicago","IL",," 773-342-1414",0,0,8
729,"Cuna","1113 W. Belmont Ave.","Chicago","IL",," 312-224-8588",0,0,9
730,"Cunneen's","1424 W. Devon Ave.","Chicago","IL",,,0,0,10
731,"Currents on the River","200 S. Wacker Dr.","Chicago","IL",," 312-846-6692",0,0,12
732,"Curry Hut","410 Sheridan Rd.","Chicago","IL",," 847-432-2889",0,0,13
733,"Custom House","500 S. Dearborn St.","Chicago","IL",," 312- 523-0200",4,6,0
734,"Cy's Crab House","3819 N. Ashland Ave.","Chicago","IL",," 773-883-8900",2,12,4
735,"Cyrano's Bistrot & Wine Bar","546 N. Wells St.","Chicago","IL",," 312-467-0546",3,17,2
736,"Cyrano's Cafe & Wine Bar on the Riverwalk","233 E. Lower Wacker Dr.","Chicago","IL",," 312-616-1400",0,0,3
737,"Czech Plaza","7016 W. Cermak Rd.","Chicago","IL",," 708-795-6555",4,5,5
738,"D'Amato's #1 Italian and French Bakery","1124 W. Grand Ave.","Chicago","IL",," 312-733-5456",0,0,13
739,"D'Candela","4053 N. Kedzie Ave.","Chicago","IL",," 773-478-0819",0,0,14
740,"D'Gigio's","5337 W. Belmont Ave.","Chicago","IL",," 773-777-5858",0,0,14
741,"D.O.C. Wine Bar","2602 N. Clark St.","Chicago","IL",," 773-883-5101",0,0,6
742,"D.S. Tequila Company","3352 N. Halsted St.","Chicago","IL",," 773-697-9127",0,0,9
743,"Da Rae Jung","5220 N. Lincoln Ave.","Chicago","IL",," 773-907-9155",3,1,6
744,"Daata Darbar","2306 W. Devon Ave.","Chicago","IL",," 773-262-7330",0,0,7
745,"Daddy O Jerkpit","7518 S. Cottage Grove Ave.","Chicago","IL",," 773-651-7355",4,3,8
746,"Daily Bar & Grill","4560 N. Lincoln Ave.","Chicago","IL",," 773-561-6198",2,11,9
747,"Dairy Star","3472 W. Devon Ave.","Chicago","IL",," 847-679-3472",0,0,10
748,"Dal Paeng Yi Korean Noodle and Snack","3236 W. Bryn Mawr Ave.","Chicago","IL",," 773-588-0305",0,0,11
749,"Daley's Restaurant","809 E. 63rd St.","Chicago","IL",," 773-643-6670",4,1,12
750,"Damenzo's Pizza","2324 W. Taylor St.","Chicago","IL",," 312-421-2034",0,0,14
751,"Danny's Restaurant","6310 N. Western Ave.","Chicago","IL",," 773-465-6000",0,0,0
752,"Dao","230 E. Ohio St.","Chicago","IL",," 312-337-0000",3,19,1
753,"Darrell BBQ & Restaurant","3334 W. Chicago Ave,.","Chicago","IL",," 773-533-4227",0,0,2
754,"Daruma","1823 W. Golf Rd.","Chicago","IL",," 847-882-9700",3,3,3
755,"Dat Donut","1979 W. 111th St.","Chicago","IL",," 773-298-1001",0,0,4
756,"Dat Donut","8251 S. Cottage Grove Ave.","Chicago","IL",," 773-723-1002",0,0,5
757,"Davanti Enoteca","1359 W. Taylor St.","Chicago","IL",," 312-226-5550",0,0,6
758,"Dave & Buster's","1030 N. Clark St.","Chicago","IL",," 312-943-5151",3,3,8
759,"Dave & Buster's","1155 N. Swift Rd.","Chicago","IL",," 630-543-5151",0,0,7
760,"Dave's Italian Kitchen","1635 Chicago Ave.","Chicago","IL",," 847-864-6000",3,17,9
761,"David Burke's Primehouse","616 N. Rush St.","Chicago","IL",," 312-660-6000",3,5,10
762,"Davis Street Fishmarket","501 Davis St.","Chicago","IL",," 847-869-3474",3,21,11
763,"Dawali Mediterranean Kitchen","4911 N. Kedzie Ave.","Chicago","IL",," 773-267-4200",0,0,12
764,"Dawghaus Cafe","6219 N. Sheridan Rd.","Chicago","IL",," 773-761-3294",0,0,13
765,"DD&S Bar-B-Que","7100 S. South Chicago Ave.","Chicago","IL",," 773-643-5411",0,0,0
766,"De Cero","814 W. Randolph St.","Chicago","IL",," 312-455-8114",3,12,1
767,"De Rice","920 E. 47th St.","Chicago","IL",," 773-268-6868",0,0,2
768,"Debonair Social Club","1575 N. Milwaukee Ave.","Chicago","IL",," 773-227-7790",0,0,3
769,"Deca Restaurant + Bar","160 E. Pearson","Chicago","IL",," 312-573-5160",0,0,4
770,"DeColores","1626 S. Halsted St.","Chicago","IL",," 312-226-9886",0,0,5
771,"Dee's Mandarin Restaurant","1114 W. Armitage Ave.","Chicago","IL",," 773-477-1500",4,4,6
772,"Dee's Place","2114 W. Division","Chicago","IL",," 312-348-6117",1,1,7
773,"Del Rio","228 Green Bay Rd.","Chicago","IL",," 847-432-4608",4,1,8
774,"Del Seoul","2568 N. Clark","Chicago","IL",," 773-248-4227",4,1,9
775,"Delaney & Murphy Steak House","3400 W. Euclid Ave.","Chicago","IL",," 847-394-3090",0,0,10
776,"Deleece","4004 N. Southport Ave.","Chicago","IL",," 773-325-1710",3,44,11
777,"Deleece Grill Pub","3313 N. Clark St.","Chicago","IL",," 773-348-3313",0,0,12
778,"Delhi Darbar Kabab House","6403 N. California Ave.","Chicago","IL",," 773-338-1818",0,0,13
779,"Deli Boutique","2318 N. Clark","Chicago","IL",," 773-880-9820",0,0,14
780,"Delicias Mexicanas","4148 W. 26th St.","Chicago","IL",," 773-522-5009",0,0,0
781,"Delicious Cafe","3827 N. Lincoln Ave.","Chicago","IL",," 773-477-9840",0,0,1
782,"Delightful Pastries","1710 N. Wells St.","Chicago","IL",," 312-255-0724",0,0,3
783,"Delightful Pastries","5927 W. Lawrence Ave.","Chicago","IL",," 773-545-7215",0,0,2
784,"Delilah's","2771 N. Lincoln Ave.","Chicago","IL",," 773-472-2771",0,0,4
785,"Dell Rhea's Chicken Basket","645 Joliet Rd.","Chicago","IL",," 630-325-0780",0,0,5
786,"Deluxe Diner","6349 N. Clark St.","Chicago","IL",," 773-743-8244",2,12,6
787,"Demera","4801 N. Broadway","Chicago","IL",," 773-334-8787",3,5,7
788,"Dempsey's Irish-American Grill","6520 S. Cicero Rd.","Chicago","IL",," 708-594-5500",4,2,8
789,"Deta's Pita and More","7555 N. Ridge Ave.","Chicago","IL",," 773-973-1505",0,0,10
790,"Devil Dawgs","2147 N. Sheffield Ave.","Chicago","IL",," 773-281-4300",0,0,11
791,"DeVine Restaurant & Wine Bar","2958 W. Irving Park Rd.","Chicago","IL",," 773-866-2233",5,2,12
792,"Devon Seafood Grill","39 E. Chicago Ave.","Chicago","IL",," 312-440-8660",3,4,13
793,"Dharma Garden Thai Restaurant","3109 W. Irving Park Rd.","Chicago","IL",," 773-588-9140",4,10,0
794,"Di Pescara","2124 Northbrook Court Northbrook, IL","Chicago","IL",,,0,0,1
795,"Dib Sushi Bar and Thai Cuisine","1025 W. Lawrence Ave.","Chicago","IL",," 773-561-0200",4,2,2
796,"Dick's Last Resort","315 N. Dearborn St.","Chicago","IL",," 312-836-7870",2,8,3
797,"Dine","733 W. Madison St.","Chicago","IL",," 312-602-2100",3,2,4
798,"Diner Grill","1635 W. Irving Park Rd.","Chicago","IL",," 773-248-2030",0,0,5
799,"Dinkel's Bakery","3329 N. Lincoln Ave.","Chicago","IL",," 773-281-7300",4,1,7
800,"Dino's Liquors","6400 N. Clark St.","Chicago","IL",," 773-743-8282",0,0,8
801,"Dino's Morgan Inn","954 W. Fulton St.","Chicago","IL",," 312-226-5300",0,0,9
802,"Dinotto Ristorante","215 W. North Ave.","Chicago","IL",," 312-202-0302",3,15,10
803,"Dirk's Fish","2070 N. Clybourn Ave.","Chicago","IL",," 773-404-3475",0,0,11
804,"DiSotto Enoteca","200 E. Chestnut St.","Chicago","IL",," 312-482-8727",0,0,12
805,"District Bar","170 W. Ontario St.","Chicago","IL",," 312-337-3477",5,2,13
806,"Diva Thai and Sushi Bar","3542 N. Halsted St.","Chicago","IL",," 773-857-0571",0,0,14
807,"Diversey River Bowl","2211 W. Diversey Ave.","Chicago","IL",," 773-227-5800",0,0,0
808,"Division Ale House","1942 W. Division St.","Chicago","IL",," 773-384-6886",0,0,1
809,"Dixie Kitchen & Bait Shop","825 Church St.","Chicago","IL",," 847-733-9030",3,24,2
810,"Dizzy's Bar","401 Illinois 83","Chicago","IL",," 847-223-7788",0,0,3
811,"DMK Burger Bar","2954 N. Sheffield Ave.","Chicago","IL",," 773-360-8686",4,4,4
812,"Do Won","5695 N. Lincoln Ave.","Chicago","IL",," 773-878-5888",4,1,5
813,"Dokil Bakery","3844 W. Lawrence Ave.","Chicago","IL",," 773-539-3551",0,0,8
814,"Dolce","4114 N. Kedzie","Chicago","IL",,,0,0,9
815,"Dolce","4114 N. Kedzie","Chicago","IL",,,0,0,11
816,"Dolce","4114 N. Kedzie Ave.","Chicago","IL",," 773-866-1910",0,0,10
817,"Dolce Casa Cafe","4947 N. Damen Ave.","Chicago","IL",," 773-506--0708",5,1,12
818,"Dollop Coffee Co.","4181 N. Clarendon Ave.","Chicago","IL",," 773-755-1955",0,0,13
819,"Don Diablo","3749 W. Fullerton Ave.","Chicago","IL",," 773-489-3748",0,0,14
820,"Don Juan","6730 N. Northwest Hwy.","Chicago","IL",," 773-775-6438",3,6,0
821,"Don Roth's Blackhawk","61 N. Milwaukee Ave.","Chicago","IL",," 847-537-5800",4,1,1
822,"Dona Naty's Tacos","1815 W. Chicago Ave.","Chicago","IL",," 312-243-2209",0,0,2
823,"Dona Torta/Tortas USA","3057 N. Ashland Ave.","Chicago","IL",," 773-871-8999",3,1,3
824,"Donatella's Mediterranean Bistro","1512 Sherman Ave.","Chicago","IL",," 847-328-7720",5,2,4
825,"Dong Thanh","4925 N. Broadway","Chicago","IL",," 773-275-4928",0,0,5
826,"Dor? Lounge","23 W. Hubbard St.","Chicago","IL",," 312-661-1230",0,0,6
827,"Dorado Restaurant","2301 W. Foster Ave.","Chicago","IL",," 773-561-3780",4,20,7
828,"Dos Diablos","15 W. Hubbard","Chicago","IL",," 312-245-5252",0,0,8
829,"Double Happiness Bakery","2409 S. Wentworth Ave.","Chicago","IL",," 312-842-6888",0,0,9
830,"Double Li","228 W. Cermak Rd.","Chicago","IL",," 312- 842-7818",4,1,10
831,"Dough Boys","626 S. Racine Ave.","Chicago","IL",," 312-243-9799",4,2,11
832,"Downtown Bar and Lounge","440 N. State St.","Chicago","IL",," 312-464-1400",0,0,12
833,"Dozika","601 Dempster St.","Chicago","IL",," 847-869-9740",3,3,13
834,"Dragon Court","2414 S. Wentworth Ave.","Chicago","IL",," 312-791-1882",4,1,14
835,"Dragon Inn North","1650 Waukegan Rd.","Chicago","IL",," 847-729-8383",3,1,0
836,"DRAGONFLY","832 WEST RANDOLPH","Chicago","IL",,,0,0,1
837,"Dragonfly Mandarin","832 W. Randolph St.","Chicago","IL",," 312-455-1400",3,3,2
838,"Dragonlady Lounge","3188 N. Elston Ave.","Chicago","IL",," 773-267-1970",0,0,3
839,"Drake Bros. Steak House","140 E. Walton Pl.","Chicago","IL",," 312-932-4626",5,2,4
840,"Dram Shop","3040 N. Broadway","Chicago","IL",," 773-549-4401",0,0,5
841,"Dream","1750 N. Clark St.","Chicago","IL",," 312-932-1750",0,0,7
842,"Drew's Eatery","2207 W. Montrose Ave.","Chicago","IL",," 773-463-7397",5,1,8
843,"Duchamp","2118 N. Damen Ave.","Chicago","IL",," 773-235-6434",3,1,10
844,"Duck Walk","1217 W. Fullerton Ave.","Chicago","IL",," 773-327-6200",0,0,12
845,"Duck Walk","919 W. Belmont Ave.","Chicago","IL",," 773-665-0455",3,7,11
846,"Due Lire","4520 N. Lincoln Ave.","Chicago","IL",," 773-275-7878",0,0,13
847,"Duke of Perth","2913 N. Clark St.","Chicago","IL",," 773-477-1741",3,11,14
848,"Duke's Bar","6920 N. Glenwood Ave.","Chicago","IL",," 773-764-2826",0,0,0
849,"Duke's Drive-In","8115 S. Harlem Ave.","Chicago","IL",," 708-599-0576",0,0,1
850,"Dunlays on Clark","2600 N. Clark St.","Chicago","IL",," 773-883-6000",3,10,2
851,"Dunlays on the Square","3137 W. Logan Blvd.","Chicago","IL",," 773-227-2400",0,0,3
852,"Dylan's Tavern and Grill","113 S. Clinton St.","Chicago","IL",," 312-876-2008",0,0,4
853,"E. Leaven Food Company","54 E. Ontario St.","Chicago","IL",," 312-202-0899",0,0,5
854,"Earwax","1561 N. Milwaukee Ave.","Chicago","IL",," 773-772-4019",2,8,6
855,"East African Restaurant","5959 N. Broadway","Chicago","IL",," 773-209-0447",0,0,7
856,"Eastern Style Pizza","2911 W. Touhy Ave.","Chicago","IL",," 773-761-4070",0,0,8
857,"Eastgate Cafe","102 Harrison Street","Chicago","IL",," 708-660-9091",3,1,9
858,"Easy Bar","1944 W. Division St.","Chicago","IL",," 773-227-4644",0,0,10
859,"Eat-a-Pita","3155 N. Halsted St.","Chicago","IL",," 773-929-6727",2,1,11
860,"Eatt","6 W. Hubbard St.","Chicago","IL",," 312-494-3288",0,0,12
861,"Ed Debevic's Short Orders Deluxe","640 N. Wells St.","Chicago","IL",," 312-664-1707",2,3,13
862,"Ed's Potsticker House","3139 S. Halsted St.","Chicago","IL",," 312-326-6898",4,4,4
863,"Edelweiss","7650 W. Irving Park Rd.","Chicago","IL",," 708-452-6040",3,4,14
864,"Edgebrook Coffee Shop and Diner","6322 N. Central Ave.","Chicago","IL",," 773-792-1433",0,0,0
865,"Edgewater Beach Cafe","5545 N. Sheridan Rd.","Chicago","IL",," 773-275-4141",0,0,1
866,"Edgewater Lounge","5600 N. Ashland Ave.","Chicago","IL",," 773-878-3343",4,3,2
867,"Edna's","3175 W. Madison St.","Chicago","IL",," 773-638-7079",0,0,3
868,"Edwardo's Natural Pizza","1212 N. Dearborn St.","Chicago","IL",," 312-337-4490",3,2,5
869,"Edwardo's Natural Pizza","1321 E. 57th St.","Chicago","IL",," 773-241-7960",0,0,7
870,"Edwardo's Natural Pizza","2664 N. Halsted St.","Chicago","IL",," 773-871-3400",0,0,8
871,"Edwardo's Natural Pizza","521 S. Dearborn St.","Chicago","IL",," 312-939-3366",0,0,6
872,"Edzo's Burger Shop","1571 Sherman Ave.","Chicago","IL",," 847-864-3396",5,1,9
873,"Efes Cafe","2833 N. Broadway","Chicago","IL",," 773-880-0063",2,2,10
874,"Egg Shack","1727 W. 127th St.","Chicago","IL",," 708-389-8590",0,0,11
875,"Eggsperience","35 W. Ontario St.","Chicago","IL",," 312-870-6773",0,0,12
876,"Einstein Bros. Bagels","180 North Michigan Avenue","Chicago","IL",," (312) 419-0223",0,0,13
877,"EJ's Place","10027 Skokie Blvd.","Chicago","IL",," 847-933-9800",4,1,14
878,"El Barco","1035 N. Ashland Ave.","Chicago","IL",," 773-486-6850",3,12,0
879,"El Burrito Amigo","5238 W. Grand Ave.","Chicago","IL",," 773-637-2188",0,0,1
880,"El Charo","2410 N. Milwaukee Ave.","Chicago","IL",," 773-278-2514",3,2,2
881,"El Chimbombo","6725 Cermak Rd.","Chicago","IL",," 708-484-9420",0,0,3
882,"El Cid","2115 N. Milwaukee Ave.","Chicago","IL",," 773-252-4747",0,0,5
883,"El Cid","2645 N. Kedzie Ave.","Chicago","IL",," 773-395-0505",3,6,4
884,"El Condor","2349 N. Milwaukee Ave.","Chicago","IL",," 773-252-5112",0,0,6
885,"El Cubanito","2555 N. Pulaski Rd.","Chicago","IL",," 773-235-2555",0,0,7
886,"El Jardin Cafe","3401 N. Clark St.","Chicago","IL",," 773-935-8133",0,0,8
887,"El Llano","3941 N. Lincoln Ave.","Chicago","IL",," 773-868-1708",3,2,9
888,"El Mariachi","3420 N. Broadway","Chicago","IL",," 773-549-7020",2,4,10
889,"El Nandu","2731 W. Fullerton Ave.","Chicago","IL",," 773-278-0900",3,12,11
890,"El Nopal Bakery","3648 W. 26th St.","Chicago","IL",," 773-762-9204",0,0,0
891,"El Nuevo Buena Vista","3147 N. Broadway","Chicago","IL",," 773-871-5782",4,1,12
892,"El Nuevo Mexicano","2914 N. Clark St.","Chicago","IL",," 773-528-2131",4,4,13
893,"El Porto","4248 S. Ashland Ave.","Chicago","IL",," 773-847-7922",0,0,14
894,"El Presidente","2558 N. Ashland Ave.","Chicago","IL",," 773-525-7938",3,9,0
895,"El Ranchito","2829 N. Milwaukee Ave.","Chicago","IL",," 773-227-1688",0,0,1
896,"El Rinconcito Cubano","3238 W. Fullerton Ave.","Chicago","IL",," 773-489-4440",0,0,2
897,"El Souk","808 N. State St.","Chicago","IL",," 312-751-8600",0,0,3
898,"El Taco Veloz","1745 W. Chicago Ave.","Chicago","IL",," 312-738-0363",4,1,4
899,"El Tapatio","3400 N. Ashland Ave.","Chicago","IL",," 773-327-5475",3,19,5
900,"El Tinajon","2054 W. Roscoe St.","Chicago","IL",," 773-525-8455",3,14,6
901,"El Tipico","3341 W. Dempster St.","Chicago","IL",," 847-676-4070",2,2,7
902,"El Veneno Mariscos","1024 N. Ashland Ave.","Chicago","IL",," 773-252-7200",0,0,8
903,"El's Kitchen","1450 W. Webster Ave.","Chicago","IL",," 773-248-5210",0,0,0
904,"Elate","111 W. Huron St.","Chicago","IL",," 312-202-9900",3,1,9
905,"Elephant and Castle","111 W. Adams St.","Chicago","IL",," 312-236-6656",3,7,10
906,"Eleven City Diner","1112 S. Wabash Ave.","Chicago","IL",," 312- 212-1112",3,7,12
907,"Eli's Cheesecake Cafe","6701 W. Forest Preserve Dr.","Chicago","IL",," 773-205-3800",0,0,13
908,"Elly's Pancake House","101 W. North","Chicago","IL",," 312-643-2300",2,1,14
909,"Emerald Isle","2537 W. Peterson Ave.","Chicago","IL",," 773-561-6674",0,0,1
910,"Emerald Loop Bar & Grill","216 N. Wabash Ave.","Chicago","IL",," 312-263-0200",0,0,2
911,"Emil's Bar & Grill","101 N. Wacker Dr.","Chicago","IL",," 312-332-4333",0,0,5
912,"Emilio's Sol y Nieve","215 E. Ohio St.","Chicago","IL",," 312-467-7177",3,19,3
913,"Emilio's Tapas Bar & Restaurant","4100 Roosevelt Rd.","Chicago","IL",," 708-547-7177",4,1,4
914,"Emperor's Choice","2238 S. Wentworth Ave.","Chicago","IL",," 312-225-8800",3,7,6
915,"Empty Bottle","1035 N. Western Ave.","Chicago","IL",," 773-276-3600",4,23,7
916,"Empty Bottle","1035 N. Western Ave.","Chicago","IL",," 866-468-3401",4,23,7
917,"Encore","171 W. Randolph St.","Chicago","IL",," 312-338-3788",3,2,8
918,"English","444 N. LaSalle Blvd.","Chicago","IL",," 312-222-6200",4,3,9
919,"Eno","200 N. Columbus Dr.","Chicago","IL",," 312-946-7000",0,0,10
920,"Eno","505 N. Michigan Ave.","Chicago","IL",," 312-321-8738",0,0,11
921,"Enoteca Roma","2146 W. Division St.","Chicago","IL",," 773-772-7700",3,7,12
922,"Entourage on American Lane","1301 American Lane","Chicago","IL",," 847-995-9400",0,0,13
923,"Epic","112 W. Hubbard St.","Chicago","IL",," 312-222-4940",0,0,14
924,"Epic Burger","1000 W. North Ave.","Chicago","IL",," 312-440-9700",0,0,0
925,"Epic Burger","517 S. State St.","Chicago","IL",," 312-913-1373",0,0,1
926,"Eppel's","554 W. Roosevelt Rd.","Chicago","IL",," 312-922-2206",0,0,2
927,"Erie Cafe","536 W. Erie St.","Chicago","IL",," 312-266-2300",3,8,3
928,"Erik's Delicatessen","107 N. Oak Park Ave.","Chicago","IL",," 708-848-8805",0,0,4
929,"Erwin","2925 N. Halsted St.","Chicago","IL",," 773-528-7200",3,41,5
930,"Essence of India","4601 N. Lincoln Ave.","Chicago","IL",," 773-506-0002",3,18,6
931,"Estrella Negra","2346 W. Fullerton Ave.","Chicago","IL",," 773-227-5993",4,1,7
932,"Ethel's Soul Food","10938 S. Vincennes","Chicago","IL",," 773-779-7549",0,0,8
933,"Ethiopian Diamond","6120 N. Broadway","Chicago","IL",," 773-338-6100",3,24,9
934,"Ethiopian Diamond II","7537 N. Clark","Chicago","IL",," 773-764-2200",5,1,10
935,"Evanston Chicken Shack","1925 Ridge Ave.","Chicago","IL",," 847-328-9360",0,0,11
936,"Eve","840 N. Wabash Ave.","Chicago","IL",," 312-266-3383",0,0,12
937,"Everest","440 S. LaSalle St.","Chicago","IL",," 312-663-8920",4,21,13
938,"Evergreen","2411 S. Wentworth Ave.","Chicago","IL",," 312-225-8898",3,1,14
939,"Evil Olive","1551 W. Division St.","Chicago","IL",," 773-235-9100",0,0,0
940,"Exchequer Restaurant and Pub","226 S. Wabash Ave.","Chicago","IL",," 312-939-5633",0,0,1
941,"Express Grill","1260 S. Union Ave.","Chicago","IL",," 312-738-2112",0,0,2
942,"Exsenator's Bar-B-Que","3349 W. 159th St.","Chicago","IL",," 708-333-1211",0,0,3
943,"EZ-Inn","921 N. Western Ave.","Chicago","IL",," 773-384-9682",0,0,4
944,"Fabulous Noodles","4663 Old Tavern Rd.","Chicago","IL",," 630-305-8868",5,1,5
945,"Fado","100 W. Grand Ave.","Chicago","IL",," 312-836-0066",3,9,6
946,"Fahrenheit Restaurant","6924 N. Clark St.","Chicago","IL",," 773-338-3900",0,0,7
947,"Faith & Whiskey","1365 W. Fullerton Ave.","Chicago","IL",," 773-248-9119",0,0,8
948,"Falafil Shack","6130 N. Ravenswood","Chicago","IL",," 773-338-6622",0,0,9
949,"Falafill","3202 N. Broadway","Chicago","IL",," 773-525-0052",0,0,10
950,"Fame da Lupo","1463 W. Leland Ave.","Chicago","IL",," 773-334-9800",0,0,12
951,"Fast Track","629 W. Lake St.","Chicago","IL",," 312-993-9300",0,0,13
952,"Fat Cat","4840 N. Broadway St.","Chicago","IL",," 773-506-3100",2,3,14
953,"Fat Willy's Rib Shack","2416 W. Schubert Ave.","Chicago","IL",," 773-782-1800",3,13,0
954,"Father & Son Pizza","2475 N. Milwaukee Ave.","Chicago","IL",," 773-252-2620",4,1,1
955,"Fattoush","2652 N. Halsted St.","Chicago","IL",," 773-327-2652",0,0,2
956,"Feast Restaurant + Bar","1616 N. Damen Ave.","Chicago","IL",," 773-772-7100",3,32,3
957,"Feast Restaurant + Bar","25 E. Delaware Pl.","Chicago","IL",," 312-337-4001",3,8,4
958,"Feed","2803 W. Chicago Ave.","Chicago","IL",," 773-489-4600",4,6,5
959,"Felony Franks","229 S. Western Ave.","Chicago","IL",," 312-243-0505",0,0,6
960,"Fernando's","3450 N. Lincoln Ave.","Chicago","IL",," 773-477-6930",3,13,7
